MAC_Addr,Timestamp,Temperature,Batt_level,Batt_status
00:18:80:70:33:0C,1718899247,31.925,100,charging
00:18:80:70:33:0C,1718899248,31.915,100,charging
00:18:80:70:33:0C,1718899248,31.905,100,charging
00:18:80:70:33:0C,1718899248,31.91,100,charging
00:18:80:70:33:0C,1718899248,31.905,100,charging
00:18:80:70:33:0C,1718899248,31.895,100,charging
00:18:80:70:33:0C,1718899248,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899248,31.895,100,charging
00:18:80:70:33:0C,1718899248,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899248,31.905,100,charging
00:18:80:70:33:0C,1718899249,31.895,100,charging
00:18:80:70:33:0C,1718899249,31.885,100,charging
00:18:80:70:33:0C,1718899249,31.89,100,charging
00:18:80:70:33:0C,1718899249,31.895,100,charging
00:18:80:70:33:0C,1718899249,31.885,100,charging
00:18:80:70:33:0C,1718899249,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899249,31.88,100,charging
00:18:80:70:33:0C,1718899249,31.905,100,charging
00:18:80:70:33:0C,1718899249,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.88,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.885,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899250,31.895,100,charging
00:18:80:70:33:0C,1718899250,31.88,100,charging
00:18:80:70:33:0C,1718899250,31.89,100,charging
00:18:80:70:33:0C,1718899251,31.895,100,charging
00:18:80:70:33:0C,1718899251,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899251,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899251,31.885,100,charging
00:18:80:70:33:0C,1718899251,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899251,31.885,100,charging
00:18:80:70:33:0C,1718899251,31.885,100,charging
00:18:80:70:33:0C,1718899252,31.89,100,charging
00:18:80:70:33:0C,1718899252,31.88,100,charging
00:18:80:70:33:0C,1718899252,31.895,100,charging
00:18:80:70:33:0C,1718899252,31.88,100,charging
00:18:80:70:33:0C,1718899252,31.895,100,charging
00:18:80:70:33:0C,1718899252,31.885,100,charging
00:18:80:70:33:0C,1718899252,31.89,100,charging
00:18:80:70:33:0C,1718899252,31.895,100,charging
00:18:80:70:33:0C,1718899252,31.895,100,charging
00:18:80:70:33:0C,1718899253,31.905,100,charging
00:18:80:70:33:0C,1718899253,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899253,31.895,100,charging
00:18:80:70:33:0C,1718899253,31.895,100,charging
00:18:80:70:33:0C,1718899253,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899253,31.89,100,charging
00:18:80:70:33:0C,1718899253,31.895,100,charging
00:18:80:70:33:0C,1718899253,31.89,100,charging
00:18:80:70:33:0C,1718899253,31.895,100,charging
00:18:80:70:33:0C,1718899254,31.91,100,charging
00:18:80:70:33:0C,1718899254,31.905,100,charging
00:18:80:70:33:0C,1718899254,31.895,100,charging
00:18:80:70:33:0C,1718899254,31.895,100,charging
00:18:80:70:33:0C,1718899254,31.885,100,charging
00:18:80:70:33:0C,1718899254,31.895,100,charging
00:18:80:70:33:0C,1718899254,31.900000000000002,100,charging
00:18:80:70:33:0C,1718899254,31.91,100,charging
00:18:80:70:33:0C,1718899255,31.905,100,charging
00:18:80:70:33:0C,1718899255,31.895,100,charging
00:18:80:70:33:0C,1718899255,31.91,100,charging
